ORG,WBC TEAM,PLAYER,POS,AGE
Arizona Diamondbacks,Puerto Rico,Nolan Arenado,3B,34.9
Arizona Diamondbacks,United States,Corbin Carroll,LF,25.5
Arizona Diamondbacks,Dominican Republic,Ketel Marte,2B,32.4
Arizona Diamondbacks,Dominican Republic,Geraldo Perdomo,SS,26.4
Arizona Diamondbacks,Venezuela,Eduardo Rodriguez,LHP,32.9
Arizona Diamondbacks,Dominican Republic,Carlos Santana,1B,39.9
Arizona Diamondbacks,Canada,Michael Soroka,RHP,28.6
Arizona Diamondbacks,Mexico,Alek Thomas,CF,25.9
Oakland Athletics,Dominican Republic,Elvis Alvarado,RHP,27.0
Oakland Athletics,Canada,Denzel Clarke,OF,25.8
Oakland Athletics,Puerto Rico,Carlos Cortes,LF,28.7
Oakland Athletics,Puerto Rico,Darell Hernaiz,3B,24.6
Oakland Athletics,Dominican Republic,Luis Severino,RHP,32.0
Oakland Athletics,Chinese Taipei,Chen Zhong-Ao Zhuang,RHP,25.5
Atlanta Braves,Venezuela,Ronald Acuna Jr.,RF,28.2
Atlanta Braves,Netherlands,Ozzie Albies,2B,29.2
Atlanta Braves,Netherlands,Jurickson Profar,LF,33.0
Baltimore Orioles,Puerto Rico,Jose Espada,RHP,29.0
Baltimore Orioles,Puerto Rico,Rico Garcia,RHP,32.1
Baltimore Orioles,United States,Gunnar Henderson,SS,24.7
Baltimore Orioles,Israel,Dean Kremer,RHP,30.2
Baltimore Orioles,Canada,Tyler O,OF,30.7
Boston Red Sox,Venezuela,Wilyer Abreu,RF,26.7
Boston Red Sox,Dominican Republic,Brayan Bello,RHP,26.8
Boston Red Sox,Venezuela,Willson Contreras,1B,33.8
Boston Red Sox,Mexico,Jarren Duran,CF,29.5
Boston Red Sox,Great Britain,Nate Eaton,3B,29.2
Boston Red Sox,Puerto Rico,Jovani Moran,LHP,28.9
Boston Red Sox,Netherlands,Ceddanne Rafaela,UTL,25.5
Boston Red Sox,Venezuela,Ranger Suarez,LHP,30.5
Boston Red Sox,Italy,Greg Weissert,RHP,31.1
Boston Red Sox,United States,Garrett Whitlock,RHP,29.7
Boston Red Sox,Japan,Masataka Yoshida,LF,32.6
Chicago Cubs,Panama,Miguel Amaya,C,27.0
Chicago Cubs,Mexico,Javier Assad,RHP,28.6
Chicago Cubs,United States,Matthew Boyd,LHP,35.1
Chicago Cubs,United States,Alex Bregman,3B,31.9
Chicago Cubs,United States,Pete Crow-Armstrong,CF,23.9
Chicago Cubs,Venezuela,Daniel Palencia,RHP,26.1
Chicago Cubs,Japan,Seiya Suzuki,RF,31.5
Chicago Cubs,Canada,Jameson Taillon,RHP,34.3
Cincinnati Reds,Puerto Rico,Edwin Arroyo,SS,22.5
Cincinnati Reds,Venezuela,Eugenio Suarez,3B,34.6
Cleveland Guardians,Panama,Logan Allen,LHP,27.5
Cleveland Guardians,Italy,Matt Festa,RHP,33.0
Cleveland Guardians,Canada,Bo Naylor,C,26.0
Colorado Rockies,Mexico,Brennan Bernardino,LHP,34.1
Colorado Rockies,Puerto Rico,Willi Castro,LF,28.9
Colorado Rockies,Israel,Troy Johnston,LF,28.7
